,game_id,red_win,total_moves
0,JKwGYy,0.5,47
1,vRKG2j,0.0,63
2,BN0Z95,0.0,58
3,mNowKa,0.0,30
4,VO9ZOg,1.0,47
5,PNKby1,0.0,62
6,NRAGPl,0.0,42
7,PNK361,1.0,39
8,zw3wXy,0.5,73
9,oOeZzX,1.0,53
10,3gLXzd,1.0,35
11,e3dQ0q,0.0,44
12,2mmmno,1.0,83
13,yMMMPW,0.0,64
14,vR5vV1,0.0,105
15,Lwv324,0.0,60
16,PNPXP9,1.0,91
17,QE3Pv2,0.0,103
18,ZO39EG,1.0,61
19,1oPgZb,0.0,96
20,JKwmnv,0.5,92
21,BNwydP,1.0,47
22,PNZB59,1.0,85
23,YOWMva,1.0,65
24,qR4MqK,1.0,107
25,ZOon4N,0.5,193
26,NRrXvO,0.0,42
27,PNZR2X,0.0,48
28,GEVQNL,0.0,48
29,bQlONE,1.0,69
30,2movK2,1.0,13
31,lRZv4r,1.0,33
32,XKoGlL,1.0,33
33,JKAbKl,0.5,185
34,noZPY1,1.0,54
35,GEVJ2b,1.0,59
36,3gzVvr,0.0,75
37,MNGrVq,1.0,57
38,qRKz95,1.0,25
39,e3wP33,1.0,95
40,YOmB94,1.0,43
41,JKvlzM,0.0,57
42,0a5Mrp,1.0,38
43,e366nw,0.0,38
44,pwdXZX,1.0,85
45,j6lwlo,0.0,85
46,6opgJO,0.0,132
47,g20rKY,0.0,58
48,KNZnzv,0.0,40
49,vRWbzP,1.0,242
50,ElnOoy,0.0,64
51,anK0gq,0.5,122
52,e3l0an,0.0,102
53,QEgVQO,0.0,83
54,oO2LGq,1.0,50
55,BNNRlw,0.0,34
56,ElYb5P,1.0,49
57,krEYMy,1.0,55
58,ZON43G,0.0,64
59,yMMM3b,0.0,108
60,NRLbdl,1.0,37
61,9ZAMKP,0.0,36
62,yMX9AJ,1.0,69
63,NRLpjl,1.0,83
64,2mejNE,0.0,51
65,oOE5bK,1.0,58
66,RO6Ajl,1.0,83
67,yMX9oW,1.0,27
68,VOWK4g,1.0,174
69,yM4XzA,1.0,63
70,vRNK5l,0.0,64
71,oOBEdV,1.0,19
72,Ak9lLb,0.0,80
73,ElXXLy,0.5,147
74,OWB2my,0.5,79
75,rRzz1E,1.0,91
76,yMzjnW,1.0,28
77,oOzR3X,1.0,53
78,3g2bvr,1.0,137
79,g2eXqb,0.0,70
80,qRnV1W,1.0,74
81,3g2orP,1.0,115
82,VO1VpP,0.0,110
